sp_group_dist,gapmaker_age,dbh_mm,gap_mm,ai_mm
Abies,119,245.74035,1.3684900204459156,0.5047712560445297
Acer,52,204.63809999999998,1.97505335,0.8503514293394634
Fagus,123,204.68361948492714,0.8836455406078725,0.4738854003975963
Picea,107,262.5602,1.35369645,0.47405881968404556
Others,52,204.6381,1.9750534,0.8503514
